insee;nom;altitude;code_postal;longitude;latitude;pop99;surface;departement;region;indicatif
65255;Lançon;1100;65240;0.0064043807125442;0.74846990619505;30;2.85;65;MP;5
65256;Lanespède;320;65190;0.0046639035111907;0.7534052763272;149;4.50;65;MP;5
65257;Lanne;370;65380;0.00024240877666364;0.75337138760231;507;5.72;65;MP;5
65258;Lannemezan;588;65300;0.0066904229389701;0.75264414488765;6137;19.20;65;MP;5
65259;Lansac;370;65350;0.0027440416044741;0.75439916804601;149;3.91;65;MP;5
65260;Lapeyre;310;65220;0.0059389714658095;0.75614453724542;69;3.63;65;MP;5
65261;Laran;360;65670;0.0084357520869348;0.75462700147727;42;3.40;65;MP;5
65262;Larreule;183;65700;0.00031513664365851;0.75824377397467;381;10.23;65;MP;5
65263;Larroque;350;65230;0.0085715041227582;0.75587788824127;102;6.97;65;MP;5
65264;Lascazères;181;65700;-0.00045087089690007;0.75933939844712;249;9.20;65;MP;5
65265;Laslades;330;65350;0.0029622078129883;0.75451554818564;301;5.31;65;MP;5
65266;Lassales;380;65670;0.0085424090878492;0.75421980414659;37;2.58;65;MP;5
65267;Lau-Balagnas;431;65400;-0.0015465536910261;0.75040429325284;483;2.93;65;MP;5
65268;Layrisse;480;65380;0.00066420251876445;0.75296412369263;148;3.31;65;MP;5
65269;Lescurry;270;65140;0.0027101123080082;0.75635299617975;163;5.15;65;MP;5
65270;Lespouey;360;65190;0.0028119173623115;0.7541809885737;163;2.95;65;MP;5
65271;Lézignan;410;65100;-6.3023839672084E-005;0.75221750648102;390;2.65;65;MP;5
65272;Lhez;340;65190;0.0034567292595375;0.75408890977901;81;0.83;65;MP;5
65273;Liac;203;65140;0.0017356252547426;0.75769589515941;169;4.18;65;MP;5
65274;Libaros;380;65330;0.006864955697722;0.75492274551632;158;9.07;65;MP;5
65275;Lies;640;65200;0.0036506528999022;0.75163087867189;63;3.64;65;MP;5
65276;Lizos;370;65350;0.0025549699107205;0.75507794122884;78;1.82;65;MP;5
65277;Lombrès;471;65150;0.0089157182137997;0.75149026376633;88;1.40;65;MP;5
65278;Lomné;440;65130;0.0051729641528159;0.75127215087306;44;2.94;65;MP;5
65279;Lortet;550;65250;0.0065837659380557;0.75124784952811;200;3.57;65;MP;5
65280;Loubajac;420;65100;-0.0014011154470347;0.75285746409096;378;6.67;65;MP;5
65281;Loucrup;520;65200;0.0012508251263952;0.75259567535581;202;3.70;65;MP;5
65282;Loudenvielle;980;65510;0.0071849443855194;0.74695729727493;261;43.60;65;MP;5
65283;Loudervielle;1163;65510|65240;0.0073303826295108;0.74716575620924;42;5.49;65;MP;5
65284;Louey;340;65290;0.00034421383096706;0.75355075150174;912;5.89;65;MP;5
65285;Louit;280;65350;0.0027197990363246;0.75577602232958;129;5.00;65;MP;5
65286;Lourdes;400;65100;-0.00080478875112628;0.75216417668019;15203;37.05;65;MP;5
65287;Loures-Barousse;440;65370;0.010568946200683;0.75092793730217;733;2.20;65;MP;5
65288;Lubret-Saint-Luc;310;65220;0.0052747692071194;0.75594087200106;91;5.61;65;MP;5
65289;Luby-Betmont;360;65220;0.0050905497200511;0.75564026769301;121;7.22;65;MP;5
65290;Luc;500;65190;0.0030979593286631;0.75319681739287;180;4.89;65;MP;5
65291;Lugagnan;420;65100;-0.00064479440722758;0.75155817437413;171;0.74;65;MP;5
65292;Luquet;380;65320;-0.002060465889151;0.75508759518779;305;8.26;65;MP;5
65293;Lustar;329;65220;0.0058323144648951;0.75516515975455;109;4.97;65;MP;5
65294;Lutilhous;580;65300;0.0057644387070576;0.7527847597932;182;3.27;65;MP;5
65295;Luz-Saint-Sauveur;700;65120;-3.8781214631349E-005;0.74825658699174;1098;51.08;65;MP;5
65296;Madiran;164;65700;-0.0010229549596404;0.76011997096264;536;15.19;65;MP;5
65297;Mansan;250;65140;0.0033742974017929;0.75640632598058;54;2.09;65;MP;5
65298;Marquerie;320;65350;0.0035488304206189;0.75503912565595;74;3.52;65;MP;5
65299;Marsac;247;65500;0.0015223111228766;0.75621724154317;195;1.56;65;MP;5
65300;Marsas;535;65200;0.0040287957672609;0.75136908993674;44;2.64;65;MP;5
65301;Marseillan;230;65350;0.0037767005223551;0.75579060313655;158;4.51;65;MP;5
65303;Mascaras;355;65190;0.0028846453268343;0.75386587003772;303;4.82;65;MP;5
65304;Maubourguet;178;65700;0.00060601322916919;0.75865583157433;2412;22.37;65;MP;5
65305;Mauléon-Barousse;570;65370;0.0099338384567532;0.74980315121577;138;5.55;65;MP;5
65306;Mauvezin;513;65130;0.0049160164411506;0.75252783132704;188;10.11;65;MP;5
65307;Mazères-de-Neste;427;65660|65150;0.0095023408214304;0.75173267800457;291;3.46;65;MP;5
65308;Mazerolles;300;65220;0.0049402590093;0.7566487402188;101;6.38;65;MP;5
65309;Mazouau;631;65250;0.006991021005229;0.75109272039461;11;1.40;65;MP;5
65310;Mérilheu;599;65200;0.0030591780855862;0.75214480218326;252;3.37;65;MP;5
65311;Mingot;270;65140;0.0030058410026762;0.75694441767882;69;1.78;65;MP;5
65312;Molère;497;65130;0.005216597342504;0.75218841144611;30;1.75;65;MP;5
65313;Momères;366;65360;0.0015707963892127;0.75358470680563;589;2.35;65;MP;5
65314;Monfaucon;270;65140;0.0020313712443534;0.75836980807326;163;10.53;65;MP;5
65315;Monléon-Magnoac;340;65670;0.0090611736226966;0.75487913625347;363;20.04;65;MP;5
65316;Monlong;410;65670;0.0081400236523409;0.75408890977901;110;7.24;65;MP;5
65317;Mont;1280;65510|65240;0.0074709866119453;0.74729179030783;36;8.24;65;MP;5
65318;Montastruc;330;65330;0.0060892616564119;0.75432160347925;288;12.62;65;MP;5
65319;Montégut;480;65150;0.0087993744845687;0.75161636444395;136;7.05;65;MP;5
65320;Montgaillard;460;65200;0.0018665249538436;0.75264414488765;724;9.70;65;MP;5
65321;Montignac;432;65690;0.002656774965024;0.75369622667628;113;1.09;65;MP;5
65322;Montoussé;570;65250;0.0072673588182843;0.75165511343782;233;7.96;65;MP;5
65323;Montsérié;550;65150;0.0076309635308642;0.75136422966776;47;2.27;65;MP;5
65324;Moulédous;250;65190;0.0041209143533221;0.75447673261275;144;7.07;65;MP;5
65325;Moumoulous;240;65140;0.0042227194076256;0.75678449485536;57;3.38;65;MP;5
65326;Mun;350;65350;0.0047026847542676;0.75543180875869;92;4.89;65;MP;5
65327;Nestier;500;65150;0.0083824321689303;0.75157754887108;165;5.01;65;MP;5
65328;Neuilh;690;65200;0.0012508251263952;0.75183933760622;76;2.38;65;MP;5
65329;Nistos;551;65150;0.0084115095187852;0.75074850682373;235;32.83;65;MP;5
65330;Nouilhan;197;65500;0.00067874106365478;0.75787532563785;175;4.57;65;MP;5
65331;Odos;340;65310;0.0010374935045308;0.75393378064551;3285;8.75;65;MP;5
65332;Oléac-Debat;370;65350;0.0024289222882676;0.75522821009334;105;1.95;65;MP;5
65333;Oléac-Dessus;480;65190;0.0032870310224169;0.75328410249759;89;3.77;65;MP;5
65334;Omex;560;65100;-0.0014301926668525;0.7518151028403;204;5.66;65;MP;5
65335;Ordizan;471;65200;0.0023028572408349;0.75239687038042;408;5.99;65;MP;5
65336;Organ;360;65230;0.0084551427084733;0.75531063492908;52;2.70;65;MP;5
65337;Orieux;450;65190;0.0051050878748298;0.75454943691051;113;8.13;65;MP;5
65338;Orignac;520;65200;0.0029670597595993;0.75267323992255;248;10.12;65;MP;5
65339;Orincles;373;65380;0.00068842766193414;0.75273629026137;261;5.88;65;MP;5
65340;Orleix;280;65800;0.0020895431089689;0.75538333922684;1671;8.43;65;MP;5
65341;Oroix;360;65320;-0.00057693600935136;0.75575664783265;122;9.05;65;MP;5
65342;Osmets;240;65350;0.0046202703215026;0.75582935213041;74;4.99;65;MP;5
65343;Ossen;508;65100;-0.0011732452152614;0.75173267800457;168;6.91;65;MP;5
65344;Ossun;360;65380;-0.00046542696429806;0.75372532171118;2171;27.79;65;MP;5
65345;Ossun-ez-Angles;670;65100;0.00099871232647238;0.75187815317911;32;2.20;65;MP;5
65346;Oueilloux;460;65190;0.0031028115353486;0.75344409190007;123;4.46;65;MP;5
65347;Ourde;740;65370;0.009701115628183;0.7497934306778;25;5.65;65;MP;5
65348;Ourdis-Cotdoussan;680;65100;0.00040240312056232;0.7512575700661;53;4.85;65;MP;5
65349;Ourdon;760;65100;-0.00026665140983169;0.75111695516054;6;2.82;65;MP;5
65350;Oursbelille;275;65490;0.00063025586233726;0.75550457963547;1198;11.48;65;MP;5
65351;Ousté;620;65100;-0.00022787018300936;0.75133999490184;46;2.38;65;MP;5
65352;Ouzous;560;65400;-0.0018422996806368;0.7510393905938;187;4.75;65;MP;5
65353;Ozon;320;65190;0.0044990746456608;0.75353137700481;288;9.11;65;MP;5
65354;Pailhac;780;65240;0.0064286238008424;0.74888203037375;52;0.97;65;MP;5
65355;Paréac;402;65100;0.00041208968633237;0.75252297105804;69;2.41;65;MP;5
65356;Péré;500;65130;0.0053814262080338;0.75283808959404;55;4.95;65;MP;5
65357;Peyraube;280;65190;0.0043099857870016;0.75401134521227;114;3.49;65;MP;5
65358;Peyret-Saint-André;304;65230;0.0088575458290355;0.75609114086556;57;6.25;65;MP;5
65359;Peyriguère;340;65350;0.0046008796999641;0.75492760578531;25;4.25;65;MP;5
65360;Peyrouse;360;65270;-0.002060465889151;0.75235812138657;233;4.82;65;MP;5
65361;Peyrun;270;65140;0.0033452203120121;0.75626571107502;84;4.05;65;MP;5
65362;Pierrefitte-Nestalas;460;65260;-0.0012702157479336;0.74977405618086;1260;1.75;65;MP;5
65363;Pinas;590;65300;0.0075921822877873;0.75251811078906;442;5.85;65;MP;5
65364;Pintac;370;65320;-0.00017453292129832;0.75548999882851;27;1.54;65;MP;5
65366;Poueyferré;440;65100;-0.0013865593471274;0.75259081508681;780;6.37;65;MP;5
65367;Poumarous;464;65190;0.0037718485757441;0.75320653793085;119;5.58;65;MP;5
65368;Pouy;340;65230;0.009754452711093;0.75503426538697;38;1.96;65;MP;5
65369;Pouyastruc;320;65350;0.0029719117062102;0.75517002002353;538;11.82;65;MP;5
65370;Pouzac;506;65200;0.0023901236202108;0.75199446673972;1064;7.58;65;MP;5
65371;Préchac;448;65400;-0.0012265824282085;0.75033158895508;193;1.62;65;MP;5
65372;Pujo;238;65500;0.0011587066703711;0.75655659484508;579;5.35;65;MP;5
65373;Puntous;338;65230;0.0082224380851059;0.75579060313655;199;8.95;65;MP;5
65374;Puydarrieux;380;65220;0.0067680031101783;0.75549485909749;264;14.23;65;MP;5
